"Time","men moisturizer","men sunscreen","men cleanser","men acne","men toner","men retinol","men serum","men lip balm"
"2021-04-01",12,5,4,12,2,2,5,1
"2021-05-01",10,5,4,11,2,2,5,1
"2021-06-01",11,6,5,11,2,1,5,1
"2021-07-01",11,5,5,12,2,2,5,1
"2021-08-01",10,4,4,11,2,1,5,1
"2021-09-01",11,2,5,10,2,2,4,1
"2021-10-01",11,2,5,12,2,1,5,1
"2021-11-01",13,2,5,13,2,2,6,2
"2021-12-01",13,2,5,13,2,2,5,2
"2022-01-01",13,2,4,13,3,3,6,2
"2022-02-01",13,3,4,12,2,2,7,2
"2022-03-01",12,5,4,13,2,2,7,2
"2022-04-01",12,5,5,14,2,2,6,1
"2022-05-01",11,7,4,11,2,2,6,1
"2022-06-01",11,7,5,12,2,2,5,1
"2022-07-01",11,6,5,12,2,2,6,1
"2022-08-01",10,4,5,12,2,3,6,1
"2022-09-01",9,4,5,12,2,2,6,1
"2022-10-01",11,2,4,12,2,2,6,2
"2022-11-01",12,3,5,13,2,3,7,2
"2022-12-01",15,3,5,14,3,3,7,3
"2023-01-01",13,2,5,15,2,3,8,2
"2023-02-01",13,4,5,12,2,3,7,2
"2023-03-01",12,5,5,13,3,3,8,2
"2023-04-01",11,6,5,13,2,3,7,2
"2023-05-01",10,7,5,12,2,3,7,1
"2023-06-01",11,7,5,13,2,3,7,1
"2023-07-01",11,8,6,13,2,3,7,1
"2023-08-01",11,5,5,14,3,3,7,1
"2023-09-01",10,3,6,13,2,3,8,1
"2023-10-01",10,3,5,14,3,3,7,2
"2023-11-01",14,4,5,15,3,3,9,3
"2023-12-01",15,3,6,16,3,3,9,4
"2024-01-01",14,4,5,15,3,3,9,4
"2024-02-01",14,4,5,14,3,3,10,2
"2024-03-01",13,6,5,15,3,3,9,2
"2024-04-01",13,7,5,14,2,3,8,2
"2024-05-01",12,9,5,15,2,2,8,2
"2024-06-01",12,11,5,15,3,3,8,1
"2024-07-01",12,8,6,15,3,3,9,2
"2024-08-01",11,6,6,16,3,3,9,2
"2024-09-01",12,4,4,15,3,3,8,2
"2024-10-01",12,4,6,15,3,3,8,3
"2024-11-01",15,5,7,20,3,3,10,4
"2024-12-01",21,5,9,19,4,5,12,7
"2025-01-01",18,5,7,18,3,4,12,4
"2025-02-01",16,6,10,20,3,4,12,3
"2025-03-01",15,9,9,20,3,3,11,3
"2025-04-01",14,10,7,17,3,3,11,2
"2025-05-01",14,12,6,16,3,3,10,2
"2025-06-01",15,14,8,20,4,3,11,3
"2025-07-01",17,16,10,21,6,5,20,3
"2025-08-01",15,10,8,20,4,4,14,3
"2025-09-01",13,7,7,19,3,3,10,3
"2025-10-01",14,6,6,19,3,4,13,3
"2025-11-01",23,14,11,28,6,8,29,7
"2025-12-01",27,27,11,30,6,8,28,10
"2026-01-01",21,41,9,28,5,6,26,5
"2026-02-01",23,96,12,33,8,7,32,7
"2026-03-01",51,46,27,46,14,17,67,9
"2026-04-01",65,49,33,42,22,16,100,15
